YEAR,RANK,GAME,RUNNER1,RUNNER2,COMMENTARY1,COMMENTARY2,VIDEOURL,TIMESTAMP,VIDEO2URL,TIMESTAMP2,EVENTID,KEY
1989,1,The Revenge of Shinobi,Faust4712,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,3:04:34,,,1,1_1
,2,Golden Axe,ShimeGabriel,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,2:49:37,,,1,1_2
,3,Ghouls 'n Ghosts,Corova83,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,2:09:31,,,1,1_3
,4,Altered Beast,ZeeGee_,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,1:56:49,,,1,1_4
,5,Mystic Defender,chronoon,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,1:20:03,,,1,1_5
,6,Super Hang-On,ShimeGabriel,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,1:08:38,,,1,1_6
,7,Truxton,Paulsaltine,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,0:51:35,,,1,1_7
,8,Last Battle,Jimmy_Diamonds,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,0:41:22,,,1,1_8
,9,Space Harrier II,KrakenZer0,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,0:19:30,,,1,1_9
,10,Arnold Palmer Tournament Golf,Rusty929,,,,https://www.youtube.com/watch?v=4hUz6wl3wbI,0:03:29,,,1,1_10
1990,1,Phantasy Star II,Boostershane,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,4:03:55,,,2,2_1
,2,Castle of Illusion Starring Mickey Mouse,ZeeGee_,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,3:38:57,,,2,2_2
,3,Michael Jackson's Moonwalker,Shimegabriel,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,2:58:52,,,2,2_3
,4,Strider,chronoon,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,2:41:55,,,2,2_4
,5,Super Monaco GP,MasterSystemMarceau,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,2:29:41,,,2,2_5
,6,Shadow Dancer: The Secret of Shinobi,Paulsaltine,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,2:13:43,,,2,2_6
,7,Sword of Vermilion,Grimshins,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,1:16:43,,,2,2_7
,8,Thunder Force III,Faust4712,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,0:51:31,,,2,2_8
,9,Columns,sYnStream,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,0:36:08,,,2,2_9
,10,Shove It! ...The Warehouse Game,Grimshins,,,,https://www.youtube.com/watch?v=aZ9QOSiID1o,0:17:58,,,2,2_10
1991,1,Streets of Rage,Sonicman2005,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,7:08:15,,,3,3_1
,2,Sonic the Hedgehog,SuperSonic_,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,5:52:07,,,3,3_2
,3,ToeJam & Earl,HoodyTwoShoes,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,5:20:01,,,3,3_3
,4,Shining in the Darkness,infinitemystery,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,4:17:11,,,3,3_4
,5,Quackshot Starring Donald Duck,Faust4712,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,3:40:29,,,3,3_5
,6,Phantasy Star III: Generations of Doom,LadyErianna,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,2:10:32,,,3,3_6
,7,OutRun,MasterSyetemMarceau,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,1:50:17,,,3,3_7
,8,Ys III: Wanderers from Ys,Shimegabriel,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,0:51:19,,,3,3_8
,9,Batman: The Video Game,Shimegabriel,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,0:30:04,,,3,3_9
,10,Road Rash,MasterSyetemMarceau,,,,https://www.youtube.com/watch?v=fKWuimZLtx4,0:06:05,,,3,3_10
1992,1,Streets of Rage 2,Sonicman2005,,,,https://www.youtube.com/watch?v=5Y9Zoz1NuEc,5:45:05,,,4,4_1
,2,Sonic the Hedgehog 2,March_TV,,,,https://www.youtube.com/watch?v=5Y9Zoz1NuEc,5:10:28,,,4,4_2
