EVENTID,RUNID,DATE,EVENT,RACETITLE,VIDEOURL,GAME,CONSOLE,RUNNER1,RUNNER2,RUNNER3,RUNNER4,RUNNER5,RUNNER6,RUNNER7,RUNNER8,RUNNER9,RUNNER10,RUNNER11,RUNNER12,RUNNER13,RUNNER14,RUNNER15,RUNNER16,COMMENTARY1,COMMENTARY2,COMMENTARY3,COMMENTARY4
2,185,8/17/2019,Sega Week,The Sonic 1 Race,https://www.youtube.com/watch?v=oGdD9AQ0M28,Sonic the Hedgehog,Genesis,Faust4712,NoDiggity1,Shimegabriel,z_tox,Corova83,,,,,,,,,,,,Shannaberryblast,,,
,,,,,,Sonic the Hedgehog 2,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Shinobi III: Return of the Ninja Master,Genesis,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Garfield: Caught in the Act,Genesis,zerg_hug_party,,,,,,,,,,,,,,,,,,,
,,,,,,Arnold Palmer Tournament Golf,Genesis,Boostershane,NoDiggity1,zerg_hug_party,z_tox,,,,,,,,,,,,,,,,
,,,,,,Contra: Hard Corps,Genesis,z_tox,,,,,,,,,,,,,,,,,,,
,,,,,,The Revenge of Shinobi,Genesis,Shimegabriel,,,,,,,,,,,,,,,,,,,
,,,,,,Daytona USA Deluxe,PC,RaptorZX4,,,,,,,,,,,,,,,,,,,
,,,,,,Jurassic Park,Genesis,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Wirehead,Sega CD,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Mega Man: The Wily Wars (Mega Man 3),Genesis,koolrunner,,,,,,,,,,,,,,,,,,,
,,,,,,Pringles: The Game,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Madden NFL '95,Genesis,z_tox,,,,,,,,,,,,,,,,,,,
,,,,,,The Punisher,Genesis,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Ecco the Dolphin,Sega CD,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,NHL 96,Genesis,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Jurassic Park,Sega CD,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Skitchin',Genesis,Gok_Zarah,,,,,,,,,,,,,,,,,,,
,,,,,,Krusty's Fun House,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Sports Talk Baseball,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Decap Attack,Genesis,Corova83,,,,,,,,,,,,,,,,,,,
,,,,,,Virtua Fighter 2,PC,RaptorZX4,,,,,,,,,,,,,,,,,,,
,,,,,,NBA Jam,Genesis,Shimegabriel,,,,,,,,,,,,,,,,,,,
,,,,,,Bishoujo Senshi Sailor Moon,Mega Drive,Sonicman2005,,,,,,,,,,,,,,,,,,,
,,,,,,Atomic Runner,Genesis,flavoursavior,,,,,,,,,,,,,,,,,,,
,,,,,,Comix Zone,Genesis,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Ex-Mutants,Genesis,radioactive_man_from_mars,,,,,,,,,,,,,,,,,,,
,,,,,,ToeJam & Earl,Genesis,flavoursavior,,,,,,,,,,,,,,,,,,,
,,,,,,PGA Tour Golf III,Genesis,z_tox,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic Jam 6,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Alisia Dragoon,Genesis,Geobardi,,,,,,,,,,,,,,,,,,,
,,,,,,Dr. Robotnik's Mean Bean Machine,Genesis,radioactive_man_from_mars,,,,,,,,,,,,,,,,,,,
,,,,,,Castlevania: Bloodlines,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,The Lion King,Genesis,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Golden Axe Warrior,Master System,zerg_hug_party,,,,,,,,,,,,,,,,,,,
,,,,,,Mighty Morphin Power Rangers: The Movie,Genesis,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Gain Ground,Genesis,z_tox,,,,,,,,,,,,,,,,,,,
,,,,,,Rock n' Roll Racing,Genesis,Gok_Zarah,,,,,,,,,,,,,,,,,,,
,,,,,,Hard Drivin',Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Devil Crash,Mega Drive,zerg_hug_party,,,,,,,,,,,,,,,,,,,
,,,,,,Skeleton Krew,Genesis,radioactive_man_from_mars,,,,,,,,,,,,,,,,,,,
,,,,,,Columns,Genesis,NoDiggity1,radioactive_man_from_mars,,,,,,,,,,,,,,,,,,
,,,,,,The Steel Empire,Genesis,Geobardi,,,,,,,,,,,,,,,,,,,
,,,,,,Will Harvey Presents The Immortal,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,High Seas Havoc,Genesis,Geobardi,,,,,,,,,,,,,,,,,,,
,,,,,,Heart of the Alien,Sega CD,KerryMadonna,,,,,,,,,,,,,,,,,,,
,,,,,,Eternal Champions,Genesis,radioactive_man_from_mars,,,,,,,,,,,,,,,,,,,
,,,,,,Golden Axe,Genesis,Shimegabriel,,,,,,,,,,,,,,,,,,,
,,,,,,Beavis and Butt-Head,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Castle of Illusion Starring Mickey Mouse,Master System,Geobardi,,,,,,,,,,,,,,,,,,,
,,,,,,Wolverine: Adamantium Rage,Genesis,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Jewel Master,Genesis,Geobardi,,,,,,,,,,,,,,,,,,,
,,,,,,Syd of Valis,Genesis,koolrunner,,,,,,,,,,,,,,,,,,,
,,,,,,Altered Beast,Genesis,z_tox,,,,,,,,,,,,,,,,,,,
,,,,,,Shinobi,Master System,radioactive_man_from_mars,,,,,,,,,,,,,,,,,,,
9,111,5/23/2021,Segathon III,The Sonic 1 Race,https://www.youtube.com/watch?v=dyznHfoh-AQ,Sonic the Hedgehog,Genesis,BaconOmelette,Boostershane,Faust4712,Gok_Zarah,InfiniteMystery,NoDiggity1,Owazrim,Paulsaltine,Sonicman2005,ZeeGee_,Grimshins,,,,,,,,,
,,,,,,The Revenge of Shinobi,Genesis,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Rastan,Master System,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Bonanza Bros.,Genesis,Gok_Zarah,,,,,,,,,,,,,,,,,,,
,,,,,,Vectorman,Genesis,ZeeGee_,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic 2XL,Genesis,NoDiggity1,,,,,,,,,,,,,,,,,,,
,,,,,,Barbie: Vacation Adventure,Genesis,Paulsaltine,,,,,,,,,,,,,,,,,,,
