EVENTID,EVENT,DATE,OFFICIALRESULTS,VIDEOURL,GAMEID,GAME,GOAL,KEY,RUNNER1,RUNNER1TIME,RUNNER2,RUNNER2TIME,RUNNER3,RUNNER3TIME,RUNNER4,RUNNER4TIME,RUNNER5,RUNNER5TIME,RUNNER6,RUNNER6TIME,RUNNER7,RUNNER7TIME,RUNNER8,RUNNER8TIMR,RUNNER9,RUNNER9TIME,RUNNER10,RUNNER10TIME,RUNNER11,RUNNER11TIME,RUNNER12,RUNNER12TIME,RUNNER13,RUNNER13TIME,RUNNER14,RUNNER14TIME,RUNNER15,RUNNER15TIME,RUNNER16,RUNNER16TIME,RUNNER17,RUNNER17TIME,RUNNER18,RUNNER18TIME,RUNNER19,RUNNER19TIME,RUNNER20,RUNNER20TIME,RUNNER21,RUNNER21TIME
1,SEGA 16,10/19/2020,https://www.speedrunslive.com/races/result/280714,https://www.youtube.com/watch?v=Hd-lH-KpgDw,1,Golden Axe,Beat the Game,1_1,shadaxu,2:53:42,Shimegabriel,2:58:45,JkL0ser,3:07:38,GnarBlast,3:15:05,Paulsaltine,3:52:58,Cypherin,4:03:01,Bruzzi,4:58:10,radioactive_man_from_mars,5:14:35,z_tox,5:39:31,YourFace,6:22:53,infinitemystery,19:12:09,beadle111,69:44:32,Faust4712,DNF,,,,,,,,,,,,,,,,
1,,,,,2,Kid Chameleon,Beat Sinister Sewers,1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,3,Pulseman,Beat 3 Stages,1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,4,Fire Shark,Beat Stage 5 (Easy),1_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,5,Beavis and Butthead,Collect Hospital Ticket,1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,6,High Seas Havoc,Beat the Game,1_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,7,The Great Circus Mystery Starring Mickey and Minnie Mouse,Beat the Haunted House (Normal),1_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,8,Rocket Knight Adventures,Beat Stage 3 (Easy),1_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,9,OutRun,Beat the Game,1_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,10,Dr. Robutnik's Mean Bean Machine,Beat Humpty (Stage 3),1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,11,Mystical Fighter,Beat Stage 3,1_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,12,Gain Ground,Beat Round 2,1_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,13,X-Men 2: Clone Wars,Beat Magneto (Stage 3),1_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,14,Beyond Oasis,Find Efreet,1_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,15,Mega Man: The Wily Wars (Mega Man 3),Beat the Robot Masters,1_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,16,Shadow Dancer: The Secret of Shinobi,Beat the Game,1_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mega 16 #6,1/16/2021,https://www.speedrunslive.com/races/result/282903,https://www.youtube.com/watch?v=fNa3joozAns,1,Jurassic Park,Beat the Game (any% Raptor),2_1,JkL0ser,2:45:59,StJoe,2:48:22,GnarBlast,3:13:49,Makin81,DNF,Shimegabriel,DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,2,Golden Axe III,Beat Stage 3,2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,3,Rambo III,Beat the Game,2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,4,Osomatsu-Kun Hachamecha Gekijou,Beat Stage 1,2_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,5,Road Rash II,Complete 1st Circuit,2_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,6,New Zealand Story,Beat the Whale (Round 1-4),2_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,7,Spider-Man,Beat the Game (Easy),2_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,8,Double Dragon II: The Revenge,Beat Mission 2,2_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,9,Daze Before Christmas,Beat Louis the Mouse (Easy),2_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,10,Battle Golfer Yui,Complete Hole 9,2_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,11,Earthworm Jim 2,Beat Flying King (Easy),2_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,12,Pepenga Pengo,Beat World 2 (Dyna World),2_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,13,Chiki Chiki Boys,Beat Round 4 Stage 3,2_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,14,Bishoujo Senshi Sailor Moon,Beat Stage 3 (Easy),2_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,15,The Ren & Stimpy Show Presents Stimpy's Invention,Beat the Game,2_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,16,Magical Taruruto-Kun,Beat the Game,2_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
