EVENTID,RUNID,KEY,DATE,EVENT,GAME,CONSOLE,RUNTYPE,RUNNER1,RUNNER2,RUNNER3,RUNNER4,COMMENTARY1,COMMENTARY2,COMMENTARY3,COMMENTARY4,SPEEDRUNTYPE,VIDEOURL,TIMESTAMP,VIDEOURL2,TIMESTAMP2,RUNNER5,RUNNER6,TIMERUNNER1,TIMERUNNER2,TIMERUNNER3,TIMERUNNER4,TIMERUNNER5,TIMERUNNER6,RACE2TIMERUNNER1,RACE2TIMERUNNER2,RACE2TIMERUNNER3,RACE2TIMERUNNER4,RACE2RUNNER5,RACE2RUNNER6,RUNNER7,RUNNER8,RUNNER9,RUNNER10,RUNNER11,RUNNER12,RUNNER13,RUNNER14,RUNNER15,RUNNER16
1,1,1_1,06/07/2019,Segathon: The Book of Genesis,Castle of Illusion: Starring Mickey Mouse,Genesis,4-Way Race,Faust4712,Niakan,Paulsaltine,reanymation,BoosterShane,Zerg_Hug_Party,,,Beat the Game,https://www.youtube.com/watch?v=l_K578X4Az8,,,,,,DNF,DNF,0:20:12,DNF,,,,,0:20:58,0:23:32,,,,,,,,,,,,
1,2,1_2,06/07/2019,Segathon: The Book of Genesis,McDonald's Treasure Land Adventure,Genesis,Casual,reanymation,,,,,,,,,https://www.youtube.com/watch?v=YggDIzhdu4s,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1_3,06/07/2019,Segathon: The Book of Genesis,Comix Zone,Genesis,Speedrun,reanymation,,,,,,,,Any%,https://www.youtube.com/watch?v=zBI0rgzz3Wk,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1_4,06/07/2019,Segathon: The Book of Genesis,Pac-Attack,Genesis,Casual,ShannaBerryBlast,,,,,,,,,https://www.youtube.com/watch?v=bXgurP8ypC8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,1_5,06/08/2019,Segathon: The Book of Genesis,X-Men,Genesis,Co-Op Speedrun,BoosterShane,reanymation,,,,,,,Any%,https://www.youtube.com/watch?v=tlM-XD2v5cY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,1_6,06/08/2019,Segathon: The Book of Genesis,Golden Axe Trilogy,Genesis,Casual,NoDiggity1,,,,,,,,,https://www.youtube.com/watch?v=AeZEgrDudT0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,1_7,06/08/2019,Segathon: The Book of Genesis,X-Men 2: Clone Wars,Genesis,Casual,BoosterShane,,,,,,,,,https://www.youtube.com/watch?v=nzOR_0NJ2PY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1_8,06/08/2019,Segathon: The Book of Genesis,Golden Axe Warrior,Master System,Casual,BoosterShane,,,,,,,,,https://www.youtube.com/watch?v=zKFyZ2ooleU,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,1_9,06/08/2019,Segathon: The Book of Genesis,Shinobi,Master System,Casual,Niakan,,,,,,,,,https://www.youtube.com/watch?v=lN-r_tPdscA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,1_10,06/08/2019,Segathon: The Book of Genesis,Alien Syndrome,Arcade,Casual,BoosterShane,,,,,,,,,https://www.youtube.com/watch?v=FUYT4svovnU,,,,,,,,,,,,,,,,,,,,,,,,,,,
